;Destino;Pais;Descrição;Hospedagem;Passagem;Pais_pt;Pais_en;Currency;ISO Code
23;Big Sur;Estados Unidos;Ao sul de Carmel, o mais lindo pedaço da costa californiana. Praias, lontras e uma estrada mítica na paisagem. Cenário mais convidativo impossível: de um lado está o Pacífico, do outro, a cadeia de montanhas Santa Lucia. A região abriga um dos melhores spas do mundo, o Post Ranch Inn. Sessões com um xamã prometem ativar a energias. Há tratamentos para a pele e relaxamento com cristais e técnicas tibetanas. Estrelas de Hollywood costumam aparecer por lá.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D900051173%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DMarau%252C%2520%25E2%2580%258BBahia%252C%2520%25E2%2580%258BBrasil%3Bss_all%3D0%3Bss_raw%3DMara%25C3%25BA%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DRio%2520Grande%2520do%2520Sul%26%3B&amp;ss=Big+Sur%2C+%E2%80%8BCalif%C3%B3rnia%2C+%E2%80%8BEstados+Unidos&amp;ssne=Marau&amp;ssne_untouched=Marau&amp;city=900051173&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Big+Sur+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=20011644&amp;dest_type=city&amp;search_pageview_id=f9b97946b7b3000a&amp;search_selected=true&amp;search_pageview_id=f9b97946b7b3000a&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens no Big Sur</em></a>";<em>Busque passagens aéreas para São Francisco</em>;Estados Unidos;United States;United States dollar;USD
24;Machu Picchu;Peru;"O ápice do engenho arquitetônico e astronômico dos incas disponível a 2 500 espantados turistas por dia. Se o seu objetivo for fazer a trilha inca, é bom reservar com pelo menos dois meses de antecedência. E, em fevereiro, ela é fechada para manutenção. Machu Picchu é indicado para aventureiros ou quem gosta de cultura e história. Uma sugestão de hospedagem é em Cusco, no Hotel Rio Sagrado, da rede Orient Express, que tem o spa MayuHilka com tratamentos terapêuticos e massagens, jacuzzi, restaurante e bar aberto, que servem especiarias peruanas; além de estar em meio às montanhas.<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=ce2d77277f75e6248edb27aed3f03111&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Dce2d77277f75e6248edb27aed3f03111%3Bclass_interval%3D1%3Bdest_id%3D-353770%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DMachu%2520Picchu%252C%2520%25E2%2580%258BCusco%252C%2520%25E2%2580%258BPeru%3Bss_all%3D0%3Bss_raw%3DMachu%2520Picchu%3Bssb%3Dempty%3Bsshis%3D0%26%3B&amp;ss=Machu+Picchu%2C+Cusco%2C+Peru&amp;ssne=Machu+Picchu&amp;ssne_untouched=Machu+Picchu&amp;city=-353770&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;group_adults=2&amp;group_children=0&amp;no_rooms=1&amp;from_sf=1&amp;ss_raw=aguas+calientes%2C+peru&amp;ac_position=1&amp;ac_langcode=xb&amp;dest_id=-353770&amp;dest_type=city&amp;place_id_lat=-13.155153&amp;place_id_lon=-72.524529&amp;search_pageview_id=c04f85f31c010418&amp;search_selected=true&amp;search_pageview_id=c04f85f31c010418&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em> </em></a>";"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;sid=ce2d77277f75e6248edb27aed3f03111&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Dce2d77277f75e6248edb27aed3f03111%3Bclass_interval%3D1%3Bdest_id%3D-353770%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DMachu%2520Picchu%252C%2520%25E2%2580%258BCusco%252C%2520%25E2%2580%258BPeru%3Bss_all%3D0%3Bss_raw%3DMachu%2520Picchu%3Bssb%3Dempty%3Bsshis%3D0%26%3B&amp;ss=Machu+Picchu%2C+Cusco%2C+Peru&amp;ssne=Machu+Picchu&amp;ssne_untouched=Machu+Picchu&amp;city=-353770&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;group_adults=2&amp;group_children=0&amp;no_rooms=1&amp;from_sf=1&amp;ss_raw=aguas+calientes%2C+peru&amp;ac_position=1&amp;ac_langcode=xb&amp;dest_id=-353770&amp;dest_type=city&amp;place_id_lat=-13.155153&amp;place_id_lon=-72.524529&amp;search_pageview_id=c04f85f31c010418&amp;search_selected=true&amp;search_pageview_id=c04f85f31c010418&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Machu Picchu</em></a>";<em>Busque passagens aéreas para Lima</em>;Peru;Peru;Peruvian sol;PEN
25;Chapada Diamantina;Brasil;Cavernas, cachoeiras, montanhas e vales rochosos. O melhor: na Bahia. Considere ir ficando, ficando... O céu azul e temperaturas amenas tornam o ambiente perfeito para percorrer as trilhas durante o período da estiagem, até novembro.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D-353770%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DMachu%2520Picchu%252C%2520%25E2%2580%258BCusco%252C%2520%25E2%2580%258BPeru%3Bss_all%3D0%3Bss_raw%3DMachu%2520Picchu%3Bssb%3Dempty%3Bsshis%3D0%26%3B&amp;ss=Chapada+Diamantina%2C+%E2%80%8BBrasil&amp;ssne=Machu+Picchu&amp;ssne_untouched=Machu+Picchu&amp;city=-353770&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=+Chapada+Diamantina&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=5235&amp;dest_type=region&amp;search_pageview_id=f9b97966a0c4027e&amp;search_selected=true&amp;search_pageview_id=f9b97966a0c4027e&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens na Chapada Diamantina.</em></a>";<em>Busque passagens aéreas para Salvador</em>;Brasil;Brazil;Brazilian real;BRL
26;Havana;Cuba;O son está no ar. Assim como as loas ao regime, cujos heróis fizeram de Havana um parque temático dos anos 1950.   Eis um roteiro para explorar Havana em dois dias: não deixe de bater pernas em Havana Vieja passando pelas ruas entre as quatro praças coloniais, onde há uma grande variedade de museus. O Museo de la Ciudad (Tacón, 1) é o destaque, enquanto o Museo de la Revolución (Calle Refugio, 1, entre Monserrate e Zulueta) e o Museo de Bellas Artes, com seus nomes autoexplicativos, em Centro Habana, são imperdíveis. À noite vá aos típicos bares cubanos, como o Bar dos Hermanos (San Pedro, 304), que funciona 24 horas e foi o preferido do poeta Federico García Lorca durante sua temporada cubana. O El Floridita (Obispo, 557) foi popularizado por Ernest Hemingway.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Havana%2C+%E2%80%8BIlhas+Caribenhas%2C+%E2%80%8BCuba&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Havana&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-1628751&amp;dest_type=city&amp;search_pageview_id=cb6e797f3c0f00b1&amp;search_selected=true&amp;search_pageview_id=cb6e797f3c0f00b1&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0&amp;district_sel=0&amp;airport_sel=0&amp;landmark_sel=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Havana</em></a>";<em>Busque passagens aéreas para Havana</em>;Cuba;Cuba;Cuban peso;CUP
27;Foz do Iguaçu;Brasil;Conjunto monumental de 275 quedas acessíveis por barco ou, do lado argentino, por passarelas diabólicas. Um dos destinos mais procurados pelos estrangeiros no Brasil graças ao exuberante Parque Nacional do Iguaçu, suas exuberantes cataratas e ótima estrutura ao visitante. O mesmo nível de organização é encontrado do lado argentino no Parque Nacional Iguazú, na vizinha argentina Puerto Iguazú. A visita aos dois parques é indispensável.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Foz+do+Igua%C3%A7u%2C+%E2%80%8BParan%C3%A1%2C+%E2%80%8BBrasil&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Foz+do+Igua%C3%A7u+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-643720&amp;dest_type=city&amp;search_pageview_id=cb6e798e3bfc00d3&amp;search_selected=true&amp;search_pageview_id=cb6e798e3bfc00d3&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0&amp;district_sel=0&amp;airport_sel=0&amp;landmark_sel=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Foz do Iguaçu</em></a>";<em>Busque passagens aéreas para Foz do Iguaçu</em>;Brasil;Brazil;Brazilian real;BRL
28;Baja California;México;Penhascos e baías rochosas marcam a península de 1 280 quilômetros onde brilha, no extremo sul, Cabo San Lucas. Esqueça os resortes mexicanos pé na areia. Na Baja California, o rústico é confortável – e combina muito com o clima local. O Baja Camp na Ilha Espírito Santo, tem tendas de luxo cercadas por dunas e cactos, onde leões-marinhos são os moradores principais. A praia, deserta e isolada, é quase que exclusiva de quem se hospeda ali. À noite, lâmpadas iluminam a mesa de jantar com receitas fartas em frutos do mar.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Baja+California%2C+%E2%80%8BM%C3%A9xico&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;search_pageview_id=cb6e799e3c3100dc&amp;ac_suggestion_list_length=8&amp;ac_suggestion_theme_list_length=0&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=3583&amp;dest_type=region&amp;search_pageview_id=cb6e799e3c3100dc&amp;search_selected=true&amp;ss_raw=Baja+Calif%C3%B3rnia&amp;district_sel=0&amp;airport_sel=0&amp;landmark_sel=0&amp;map=1#map_opened"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Baja Califórnia</em></a>";<em>Busque passagens aéreas para Cidade do México</em>;México;Mexico;Mexican peso;MXN
29;Península Valdés;Argentina;Lar de pinguins, elefantes-marinhos, orcas e aves, a península patagônica é um santuário da vida selvagem. Destino ainda pouco conhecido pelos brasileiros que rumam ao território vizinho, a Península Valdés é um segredinho da Patagônia. A principal atração local é navegar e mergulhar ao lado de animais marinhos. A base turística é a cidade costeira de Puerto Madryn, a cinco quilômetros de um pequeno aeroporto. Ali chegam voos vindos do Aeroparque de Buenos Aires.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=index&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Findex.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bsb_price_type%3Dtotal%26%3B&amp;ss=Argentina&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Argentina+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=10&amp;dest_type=country&amp;search_pageview_id=726c79b161650106&amp;search_selected=true&amp;search_pageview_id=726c79b161650106&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0&amp;district_sel=0&amp;airport_sel=0&amp;landmark_sel=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens na Argentina</em></a>";<em>Busque passagens aéreas para Buenos Aires</em>;Argentina;Argentina;Argentine peso;ARS
30;Ilha de Páscoa;Chile;No mais remoto Pacífico, cerca de 900 figuras de pedra. Um mistério a desvendar de bicicleta A ilha está isolada no Pacífico, a 4.200 quilômetros a leste do Taiti e 3.700 quilômetros a oeste da costa do Chile. Todos os voos fazem conexão em Santiago.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D10%3Bdest_type%3Dcountry%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcountry%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dindex%3Bsrc_elem%3Dsb%3Bss%3DArgentina%3Bss_all%3D0%3Bss_raw%3DArgentina%3Bssb%3Dempty%3Bsshis%3D0%26%3B&amp;ss=Ilha+de+P%C3%A1scoa%2C+%E2%80%8BChile&amp;ssne=Argentina&amp;ssne_untouched=Argentina&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Ilha+de+P%C3%A1scoa+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=674&amp;dest_type=region&amp;search_pageview_id=726c79b86144011b&amp;search_selected=true&amp;search_pageview_id=726c79b86144011b&amp;ac_suggestion_list_length=3&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens na Ilha de Páscoa.</em></a>";<em>Busque passagens aéreas para Ilha da Páscoa</em>;Chile;Chile;Chilean peso;CLP
31;Jericoacoara;Brasil;Isolada por dunas e com o pôr do sol mais famoso do Brasil, Jeri hoje está longe de ser um segredo. Quem liga? Chegar lá não é tarefa das mais fáceis, mas o esforço vale a viagem. Os 287 quilômetros de Fortaleza a Jijoca podem ser percorridos de ônibus. De Jijoca, caminhonetes fazem o trajeto até Jeri (40 minutos). Ao chegar lá, explore a Praia Jericoacoara – onde os kitesurfistas dão cor ao mar com suas pranchas e os bares são animados durante todo o ano.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D674%3Bdest_type%3Dregion%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dregion%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DIlha%2520de%2520P%25C3%25A1scoa%252C%2520%25E2%2580%258BChile%3Bss_all%3D0%3Bss_raw%3DIlha%2520de%2520P%25C3%25A1scoa%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DArgentina%26%3B&amp;ss=Jericoacoara%2C+%E2%80%8BCear%C3%A1%2C+%E2%80%8BBrasil&amp;ssne=Ilha+de+P%C3%A1scoa&amp;ssne_untouched=Ilha+de+P%C3%A1scoa&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Jericoacoara+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=-649321&amp;dest_type=city&amp;search_pageview_id=cb6e79c83c0b0131&amp;search_selected=true&amp;search_pageview_id=cb6e79c83c0b0131&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Jericoacoara.</em></a>";<em>Busque passagens aéreas para Fortaleza</em>;Brasil;Brazil;Brazilian real;BRL
32;Rochosas;Canadá;Protegidas por parques nacionais, as idílicas Montanhas Rochosas são ainda mais idílicas em Banff e Jasper. Anote esse nome: Parque Nacional de Banff, na província de Alberta. O parque mais antigo do Canadá tem 7 mil quilômetros quadrados e pode ser explorado por vários dias, com pausa apenas para pernoites em barracas. Uma regra que precisa ser obedecida à risca é nunca largar comida fora da tenda, para não atrair os ursos. Eles são espantados toda noite com uma fogueira, onde os turistas se aquecem com vinho e chocolate. Gostou? Pois saiba que ainda dá para explorar o parque a cavalo, com a Warner Guiding & Outfitting.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D-649321%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DJericoacoara%252C%2520%25E2%2580%258BCear%25C3%25A1%252C%2520%25E2%2580%258BBrasil%3Bss_all%3D0%3Bss_raw%3DJericoacoara%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DIlha%2520de%2520P%25C3%25A1scoa%26%3B&amp;ss=Canad%C3%A1&amp;ssne=Jericoacoara&amp;ssne_untouched=Jericoacoara&amp;city=-649321&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Canad%C3%A1+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=38&amp;dest_type=country&amp;search_pageview_id=491979d5e082014c&amp;search_selected=true&amp;search_pageview_id=491979d5e082014c&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens no Canadá.</em></a>";<em>Busque passagens aéreas para Canadá</em>;Canadá;Canada;Canadian dollar;CAD
33;Torres del Paine;Chile;Três monolitos de granito de até 2 500 metros. Boa razão para o parque ser amado pelos trekkers do mundo. Na cidade mais próxima, Puerto Natales, a grande novidade do ano é o super confortável The Singular, hotel instalado em um antigo frigorífico de 1915 e que aproveita a nova estrada de acesso ao Parque Nacional Torres Del Paine (são 130 quilômetros até a portaria). Os quartos têm vista para as belezas cênicas da região - e as refeições, incluídas na diária, costumam ter cordeiro e caranguejo gigante.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bcity%3D-649321%3Bclass_interval%3D1%3Bdest_id%3D38%3Bdest_type%3Dcountry%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcountry%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DCanad%25C3%25A1%3Bss_all%3D0%3Bss_raw%3DCanad%25C3%25A1%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DJericoacoara%26%3B&amp;ss=Torres+del+Paine%2C+%E2%80%8BMagallanes%2C+%E2%80%8BChile&amp;ssne=Canad%C3%A1&amp;ssne_untouched=Canad%C3%A1&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Torres+del+Paine&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=900048832&amp;dest_type=city&amp;search_pageview_id=59b179de63c501ac&amp;search_selected=true&amp;search_pageview_id=59b179de63c501ac&amp;ac_suggestion_list_length=5&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens em Torres del Paine.</em></a>";<em>Busque passagens aéreas para Santiago</em>;Chile;Chile;Chilean peso;CLP
34;Galápagos;Equador;Praias desertas, vulcões ativos, cormorões. Pouco mudou desde a visita do viajante que revolucionou a ciência. Para preservar Galápagos, as normas são rígidas: não leve conchas, pedras ou penas para casa, não moleste os animais, não fume e não jogue lixo.;"<a href=""https://www.booking.com/searchresults.pt-br.html?aid=332455&amp;lang=pt-br&amp;sid=eedbe6de09e709d664615ac6f1b39a5d&amp;sb=1&amp;src=searchresults&amp;src_elem=sb&amp;error_url=https%3A%2F%2Fwww.booking.com%2Fsearchresults.pt-br.html%3Faid%3D332455%3Bsid%3Deedbe6de09e709d664615ac6f1b39a5d%3Bclass_interval%3D1%3Bdest_id%3D900048832%3Bdest_type%3Dcity%3Bdtdisc%3D0%3Bfrom_sf%3D1%3Bgroup_adults%3D2%3Bgroup_children%3D0%3Binac%3D0%3Bindex_postcard%3D0%3Blabel_click%3Dundef%3Bno_rooms%3D1%3Boffset%3D0%3Bpostcard%3D0%3Braw_dest_type%3Dcity%3Broom1%3DA%252CA%3Bsb_price_type%3Dtotal%3Bsearch_selected%3D1%3Bsrc%3Dsearchresults%3Bsrc_elem%3Dsb%3Bss%3DTorres%2520del%2520Paine%252C%2520%25E2%2580%258BMagallanes%252C%2520%25E2%2580%258BChile%3Bss_all%3D0%3Bss_raw%3DTorres%2520del%2520Paine%3Bssb%3Dempty%3Bsshis%3D0%3Bssne_untouched%3DCanad%25C3%25A1%26%3B&amp;ss=Equador&amp;ssne=Torres+del+Paine&amp;ssne_untouched=Torres+del+Paine&amp;city=900048832&amp;checkin_monthday=&amp;checkin_month=&amp;checkin_year=&amp;checkout_monthday=&amp;checkout_month=&amp;checkout_year=&amp;no_rooms=1&amp;group_adults=2&amp;group_children=0&amp;from_sf=1&amp;ss_raw=Equador+&amp;ac_position=0&amp;ac_langcode=xb&amp;dest_id=62&amp;dest_type=country&amp;search_pageview_id=491979ebe0a40167&amp;search_selected=true&amp;search_pageview_id=491979ebe0a40167&amp;ac_suggestion_list_length=4&amp;ac_suggestion_theme_list_length=0"" rel=""noopener"" target=""_blank""><em>Busque hospedagens no Equador</em></a>";<em>Busque passagens aéreas para Ilha de Santa Cruz</em>;Equador;Ecuador;United States dollar;USD
