,carat,cut,color,clarity,depth,table,x,y,z,price_predict
27,0.71,Very Good,H,SI2,61.8,58.0,5.67,5.73,3.52,3512.4376710365154
28,1.51,Very Good,H,SI2,60.2,59.0,7.33,7.43,4.44,7470.113920091745
29,1.51,Very Good,H,SI2,62.3,58.0,7.31,7.35,4.57,7470.113920091745
30,0.9,Very Good,H,SI2,63.0,55.0,6.1,6.16,3.86,4452.385780187133
31,1.63,Very Good,H,SI2,58.2,62.0,7.77,7.72,4.51,8063.765357450028
32,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,1944.2925565326634
33,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,1176.808652638191
34,0.31,Good,F,VS2,63.9,56.0,4.29,4.32,2.75,1586.1334013819096
35,0.33,Good,F,VS2,63.2,56.0,4.39,4.41,2.78,1688.4645885678392
36,1.01,Good,F,VS2,60.6,62.0,6.52,6.49,3.94,5167.724952889447
37,0.45,Good,F,VS2,56.8,62.0,5.1,5.14,2.91,2302.451711683417
38,0.39,Good,F,VS2,64.3,55.0,4.56,4.64,2.96,1995.4581501256282
39,0.8,Good,F,VS2,60.5,62.3,5.97,6.01,3.62,4093.247487437186
40,0.41,Good,F,VS2,59.7,63.0,4.8,4.85,2.88,2097.7893373115576
41,0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59,3632.7571451005024
42,0.4,Good,F,VS2,62.0,61.3,4.69,4.72,2.91,2046.623743718593
43,0.67,Good,F,VS2,58.1,62.0,5.76,5.83,3.36,3428.094770728643
44,0.5,Good,F,VS2,63.3,57.0,5.02,5.06,3.19,2558.279679648241
45,1.01,Good,F,VS2,65.2,57.0,6.19,6.23,4.05,5167.724952889447
46,0.5,Good,F,VS2,63.3,57.0,5.01,5.07,3.19,2558.279679648241
47,1.0,Good,F,VS2,64.0,59.0,6.29,6.25,4.03,5116.559359296482
48,0.9,Good,F,VS2,63.3,57.0,6.04,6.09,3.84,4604.903423366834
49,1.03,Good,F,VS2,63.9,59.0,6.35,6.38,4.07,5270.056140075377
50,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,2624.507337943393
51,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,7671.636833988378
52,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,3835.818416994189
53,0.7,Ideal,H,VS2,61.1,57.0,5.71,5.74,3.5,3532.99064723149
54,2.0,Ideal,H,VS2,62.4,55.0,8.03,7.94,4.99,10094.258992089972
55,2.01,Ideal,H,VS2,63.0,55.0,8.03,7.97,5.04,10144.73028705042
56,0.97,Ideal,H,VS2,62.9,56.0,6.35,6.31,3.98,4895.715611163636
57,0.34,Ideal,H,VS2,62.6,54.0,4.45,4.5,2.8,1716.0240286552953
58,1.14,Ideal,H,VS2,61.1,57.0,6.71,6.78,4.12,5753.727625491283
59,0.24,Ideal,H,VS2,61.1,56.0,3.99,4.03,2.45,1211.3110790507965
60,0.5,Ideal,H,VS2,60.8,56.0,5.17,5.19,3.14,2523.564748022493
61,0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,1716.0240286552953
62,0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7,4037.7035968359887
63,0.8,Ideal,H,VS2,62.1,54.0,5.96,5.99,3.71,4037.7035968359887
64,0.7,Ideal,H,VS2,62.4,56.0,5.63,5.72,3.54,3532.99064723149
65,1.52,Ideal,H,VS2,61.8,55.1,7.38,7.42,4.58,7671.636833988378
66,0.32,Ideal,H,VS2,62.1,56.0,4.42,4.37,2.73,1615.0814387343955
67,1.08,Ideal,H,VS2,61.9,54.0,6.64,6.61,4.1,5450.899855728585
68,0.42,Ideal,H,VS2,62.1,54.0,4.82,4.84,3.0,2119.794388338894
69,1.04,Ideal,H,VS2,61.0,57.0,6.56,6.53,3.99,5249.014675886786
70,1.09,Ideal,H,VS2,61.3,56.0,6.57,6.63,4.05,5501.371150689035
71,0.47,Ideal,H,VS2,61.7,57.0,4.99,5.03,3.09,2372.1508631411434
72,0.36,Ideal,H,VS2,61.0,55.0,4.59,4.62,2.81,1816.9666185761948
73,0.72,Ideal,H,VS2,62.8,57.0,5.74,5.7,3.59,3633.9332371523897
74,1.07,Ideal,H,VS2,62.1,57.0,6.53,6.49,4.04,5400.428560768135
75,0.7,Ideal,H,VS2,61.2,57.0,5.73,5.77,3.52,3532.99064723149
76,1.07,Ideal,H,VS2,61.8,56.0,6.52,6.55,4.04,5400.428560768135
77,2.0,Ideal,H,VS2,60.5,56.0,8.34,8.22,5.01,10094.258992089972
78,0.36,Ideal,H,VS2,61.0,57.0,4.59,4.63,2.81,1816.9666185761948
79,0.54,Ideal,H,VS2,62.6,57.0,5.24,5.2,3.27,2725.4499278642925
80,0.52,Ideal,H,VS2,62.0,57.0,5.12,5.08,3.16,2624.507337943393
81,1.01,Ideal,H,VS2,62.7,56.0,6.4,6.35,4.0,5097.600791005436
82,1.51,Ideal,H,VS2,62.5,56.0,7.37,7.33,4.57,7621.165539027928
83,0.31,Ideal,H,VS2,61.9,55.0,4.38,4.35,2.7,1564.6101437739455
84,0.37,Ideal,H,VS2,61.7,55.0,4.64,4.67,2.87,1867.4379135366448
85,1.51,Ideal,H,VS2,61.9,59.0,7.29,7.34,4.53,7621.165539027928
86,0.52,Ideal,H,VS2,61.7,54.0,5.18,5.22,3.21,2624.507337943393
87,1.02,Ideal,H,VS2,60.4,57.0,6.58,6.54,3.96,5148.072085965886
88,1.06,Ideal,H,VS2,61.2,55.0,6.57,6.61,4.03,5349.957265807685
89,2.0,Ideal,H,VS2,62.4,55.0,8.03,7.94,4.99,10094.258992089972
90,1.63,Ideal,H,VS2,62.4,55.0,7.53,7.57,4.71,8226.821078553327
91,0.36,Ideal,H,VS2,62.1,55.0,4.61,4.57,2.85,1816.9666185761948
92,0.83,Ideal,H,VS2,61.6,55.0,6.04,6.08,3.73,4189.117481717338
93,0.32,Ideal,H,VS2,62.2,57.0,4.38,4.36,2.72,1615.0814387343955
94,1.24,Ideal,H,VS2,61.4,57.0,6.92,6.88,4.24,6258.440575095782
95,0.27,Ideal,H,VS2,61.8,56.0,4.15,4.17,2.57,1362.7249639321462
96,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,6298.750620287833
97,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,1889.62518608635
98,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,1431.5342318835983
99,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,3206.6366794192604
100,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6012.443773911113
101,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5783.398296809737
102,0.41,Ideal,G,VS1,61.6,57.0,4.77,4.74,2.93,2347.716140289101
103,0.32,Ideal,G,VS1,61.9,55.0,4.43,4.39,2.73,1832.3638168110058
104,0.53,Ideal,G,VS1,61.5,57.0,5.26,5.21,3.22,3034.8525715932287
105,0.65,Ideal,G,VS1,60.6,60.0,5.58,5.61,3.39,3721.9890028973555
106,0.3,Ideal,G,VS1,62.3,56.0,4.32,4.29,2.68,1717.841078260318
107,1.1,Ideal,G,VS1,62.0,58.0,6.59,6.64,4.1,6298.750620287833
108,1.2,Ideal,G,VS1,62.0,57.0,6.81,6.78,4.21,6871.364313041272
109,0.25,Ideal,G,VS1,62.0,54.0,4.06,4.07,2.52,1431.5342318835983
110,0.9,Ideal,G,VS1,61.6,55.0,6.27,6.23,3.85,5153.523234780954
111,0.54,Ideal,G,VS1,60.1,57.0,5.29,5.31,3.18,3092.1139408685726
112,0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,1546.0569704342863
113,1.5,Ideal,G,VS1,61.3,56.0,7.41,7.37,4.53,8589.20539130159
114,1.0,Ideal,G,VS1,62.5,54.0,6.41,6.45,4.02,5726.136927534393
115,0.54,Ideal,G,VS1,61.8,55.3,5.22,5.24,3.23,3092.1139408685726
116,1.71,Ideal,G,VS1,63.0,56.0,7.65,7.58,4.8,9791.694146083812
117,0.52,Ideal,G,VS1,62.1,54.0,5.14,5.17,3.2,2977.5912023178844
118,0.43,Ideal,G,VS1,62.3,56.0,4.82,4.85,3.01,2462.238878839789
119,1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,7673.023482896087
120,1.63,Ideal,G,VS1,61.7,55.0,7.6,7.56,4.68,9333.60319188106
121,1.09,Ideal,G,VS1,62.3,55.0,6.59,6.63,4.12,6241.489251012489
122,1.17,Ideal,G,VS1,61.7,57.0,6.71,6.75,4.15,6699.580205215239
123,0.56,Ideal,G,VS1,60.7,57.0,5.27,5.34,3.22,3206.6366794192604
124,0.33,Ideal,G,VS1,62.4,56.0,4.43,4.45,2.77,1889.62518608635
125,1.55,Ideal,G,VS1,62.0,57.0,7.37,7.42,4.58,8875.51223767831
126,0.42,Ideal,G,VS1,61.0,56.0,4.82,4.86,2.95,2404.977509564445
127,1.0,Ideal,G,VS1,62.5,54.0,6.4,6.44,4.01,5726.136927534393
128,0.72,Ideal,G,VS1,62.7,55.0,5.71,5.68,3.57,4122.818587824763
129,1.5,Ideal,G,VS1,61.3,53.9,7.37,7.42,4.53,8589.20539130159
130,0.52,Ideal,G,VS1,60.8,55.0,5.2,5.26,3.18,2977.5912023178844
131,0.31,Ideal,G,VS1,61.0,56.0,4.4,4.35,2.67,1775.102447535662
132,0.4,Ideal,G,VS1,62.4,57.0,4.74,4.72,2.95,2290.454771013757
133,1.02,Ideal,G,VS1,61.6,55.0,6.53,6.46,4.0,5840.659666085081
134,0.7,Ideal,G,VS1,62.7,57.0,5.66,5.7,3.56,4008.295849274075
135,0.72,Ideal,G,VS1,61.6,56.0,5.75,5.78,3.55,4122.818587824763
136,0.39,Ideal,G,VS1,61.3,56.0,4.68,4.71,2.88,2233.1934017384133
137,0.3,Ideal,G,VS1,61.9,56.0,4.29,4.34,2.67,1717.841078260318
138,0.71,Ideal,G,VS1,61.4,56.0,5.76,5.73,3.53,4065.557218549419
139,1.22,Ideal,G,VS1,62.6,54.4,6.77,6.83,4.26,6985.88705159196
140,0.36,Ideal,G,VS1,61.1,55.0,4.63,4.66,2.84,2061.4092939123816
141,0.3,Ideal,G,VS1,61.8,57.0,4.29,4.32,2.66,1717.841078260318
142,0.54,Ideal,G,VS1,61.8,56.0,5.21,5.26,3.24,3092.1139408685726
143,0.6,Ideal,G,VS1,62.2,55.0,5.41,5.45,3.38,3435.682156520636
144,0.32,Ideal,G,VS1,61.9,55.0,4.4,4.42,2.73,1832.3638168110058
145,0.7,Ideal,G,VS1,61.4,57.0,5.7,5.73,3.51,4008.295849274075
146,1.58,Ideal,G,VS1,61.3,57.0,7.48,7.54,4.6,9047.296345504341
147,0.41,Ideal,G,VS1,61.7,57.0,4.81,4.78,2.96,2347.716140289101
148,0.71,Ideal,G,VS1,61.5,56.0,5.74,5.78,3.54,4065.557218549419
149,0.26,Ideal,G,VS1,62.5,53.0,4.1,4.13,2.57,1488.7956011589422
150,0.53,Ideal,G,VS1,61.8,55.0,5.17,5.22,3.21,3034.8525715932287
151,0.33,Ideal,G,VS1,61.6,57.0,4.46,4.49,2.75,1889.62518608635
152,0.43,Ideal,G,VS1,61.9,55.0,4.86,4.84,3.0,2462.238878839789
153,0.3,Ideal,G,VS1,61.8,54.0,4.32,4.29,2.66,1717.841078260318
154,0.51,Ideal,G,VS1,61.7,56.0,5.1,5.2,3.18,2920.3298330425405
155,1.04,Ideal,G,VS1,61.9,57.0,6.51,6.55,4.04,5955.182404635769
156,0.57,Ideal,G,VS1,62.5,54.2,5.29,5.31,3.31,3263.898048694604
157,1.01,Ideal,G,VS1,61.8,58.0,6.4,6.42,3.96,5783.398296809737
158,0.25,Ideal,G,VS1,62.5,55.0,4.0,4.02,2.51,1431.5342318835983
159,1.1,Ideal,G,VS1,61.3,57.0,6.66,6.59,4.06,6298.750620287833
160,1.04,Ideal,G,VS1,61.2,58.0,6.5,6.53,3.99,5955.182404635769
161,0.3,Ideal,G,VS1,62.0,54.0,4.35,4.3,2.68,1717.841078260318
162,1.32,Ideal,G,VS1,62.6,56.0,7.05,7.0,4.4,7558.5007443454
163,1.0,Ideal,G,VS1,62.9,57.0,6.36,6.32,3.99,5726.136927534393
164,0.42,Ideal,G,VS1,61.9,56.0,4.77,4.82,2.97,2404.977509564445
165,0.52,Ideal,G,VS1,61.2,56.0,5.19,5.23,3.19,2977.5912023178844
166,0.43,Ideal,G,VS1,61.3,57.0,4.88,4.85,2.98,2462.238878839789
167,0.31,Ideal,G,VS1,62.3,54.0,4.35,4.38,2.72,1775.102447535662
168,0.72,Ideal,G,VS1,61.2,57.0,5.76,5.79,3.53,4122.818587824763
169,0.54,Ideal,G,VS1,61.3,57.0,5.25,5.28,3.23,3092.1139408685726
170,0.32,Ideal,G,VS1,62.3,56.0,4.39,4.37,2.73,1832.3638168110058
171,1.56,Ideal,G,VS1,61.3,56.0,7.46,7.51,4.59,8932.773606953653
172,0.57,Ideal,G,VS1,62.1,56.0,5.33,5.3,3.3,3263.898048694604
173,0.7,Ideal,G,VS1,61.3,59.0,5.68,5.7,3.49,4008.295849274075
174,1.41,Ideal,G,VS1,62.6,56.0,7.15,7.2,4.49,8073.853067823494
175,0.31,Ideal,G,VS1,60.6,56.0,4.38,4.4,2.66,1775.102447535662
176,0.51,Ideal,G,VS1,60.2,56.0,5.2,5.24,3.14,2920.3298330425405
177,0.83,Ideal,G,VS1,62.1,55.0,6.02,6.05,3.75,4752.693649853546
178,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,10812.255510529152
179,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,5026.750368930221
180,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,5927.771661474317
181,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5169.016888805604
182,1.0,Ideal,G,SI2,62.8,57.0,6.37,6.31,3.98,4742.217329179453
183,1.55,Ideal,G,SI2,60.7,55.0,7.54,7.51,4.57,7350.436860228153
184,1.16,Ideal,G,SI2,61.9,56.0,6.77,6.73,4.18,5500.972101848166
185,0.71,Ideal,G,SI2,61.5,55.0,5.74,5.78,3.54,3366.9743037174117
186,0.4,Ideal,G,SI2,62.5,53.0,4.75,4.79,2.98,1896.8869316717814
187,1.09,Ideal,G,SI2,61.2,57.0,6.63,6.68,4.07,5169.016888805604
188,2.03,Ideal,G,SI2,62.5,56.0,8.1,8.05,5.05,9626.701178234289
189,0.54,Ideal,G,SI2,62.3,58.0,5.17,5.2,3.23,2560.797357756905
190,1.07,Ideal,G,SI2,61.7,57.0,6.55,6.59,4.05,5074.172542222015
191,1.37,Ideal,G,SI2,62.8,57.0,7.12,7.06,4.45,6496.837740975851
192,0.7,Ideal,G,SI2,61.8,53.0,5.73,5.69,3.53,3319.552130425617
193,0.52,Ideal,G,SI2,63.0,55.0,5.14,5.12,3.23,2465.9530111733156
194,1.23,Ideal,G,SI2,58.8,60.0,7.01,7.08,4.14,5832.927314890728
195,2.3,Ideal,G,SI2,61.6,57.0,8.47,8.41,5.2,10907.099857112742
196,0.7,Ideal,G,SI2,61.2,56.0,5.73,5.78,3.52,3319.552130425617
197,0.9,Ideal,G,SI2,62.7,55.0,6.11,6.17,3.85,4267.995596261509
198,1.06,Ideal,G,SI2,62.2,55.0,6.56,6.53,4.07,5026.750368930221
199,1.08,Ideal,G,SI2,62.2,56.0,6.56,6.59,4.09,5121.59471551381
200,0.9,Ideal,G,SI2,62.5,56.0,6.15,6.2,3.86,4267.995596261509
201,0.97,Ideal,G,SI2,61.6,56.0,6.31,6.39,3.91,4599.9508093040695
202,0.32,Ideal,G,SI2,61.6,56.0,4.4,4.43,2.72,1517.5095453374252
203,0.8,Ideal,G,SI2,61.6,56.0,5.97,6.01,3.69,3793.773863343563
204,0.51,Ideal,G,SI2,62.0,56.0,5.13,5.16,3.19,2418.530837881521
205,0.71,Ideal,G,SI2,62.3,56.0,5.68,5.72,3.55,3366.9743037174117
206,1.25,Ideal,G,SI2,61.6,57.0,6.91,6.98,4.28,5927.771661474317
207,0.92,Ideal,G,SI2,61.9,57.0,6.23,6.25,3.86,4362.8399428450975
208,1.5,Ideal,G,SI2,63.0,57.0,7.31,7.2,4.57,7113.32599376918
209,0.33,Ideal,G,SI2,61.9,56.0,4.41,4.45,2.74,1564.9317186292196
210,2.06,Ideal,G,SI2,62.3,56.0,8.16,8.09,5.06,9768.967698109675
211,1.03,Ideal,G,SI2,61.7,55.0,6.48,6.52,4.01,4884.483849054837
212,0.33,Ideal,G,SI2,62.9,55.0,4.46,4.41,2.79,1564.9317186292196
213,0.53,Ideal,G,SI2,62.4,56.0,5.18,5.14,3.22,2513.3751844651106
214,0.32,Ideal,G,SI2,62.2,53.0,4.4,4.44,2.75,1517.5095453374252
215,0.91,Ideal,G,SI2,61.0,57.0,6.25,6.28,3.82,4315.417769553303
216,0.52,Ideal,G,SI2,61.6,55.0,5.16,5.19,3.19,2465.9530111733156
217,1.07,Ideal,G,SI2,61.1,57.0,6.61,6.65,4.05,5074.172542222015
218,0.75,Ideal,G,SI2,62.5,55.0,5.82,5.77,3.62,3556.66299688459
219,0.3,Ideal,G,SI2,62.1,58.0,4.27,4.3,2.66,1422.665198753836
220,1.02,Ideal,G,SI2,62.4,54.0,6.39,6.47,4.02,4837.061675763042
221,1.12,Ideal,G,SI2,62.4,56.0,6.63,6.67,4.15,5311.283408680988
222,1.32,Ideal,G,SI2,62.9,57.0,6.98,6.94,4.38,6259.7268745168785
223,0.9,Ideal,G,SI2,61.4,56.0,6.19,6.23,3.81,4267.995596261509
224,0.57,Ideal,G,SI2,61.6,54.0,5.35,5.37,3.3,2703.063877632288
225,0.54,Ideal,G,SI2,61.8,54.0,5.24,5.28,3.25,2560.797357756905
226,0.3,Ideal,G,SI2,60.6,56.0,4.35,4.4,2.65,1422.665198753836
227,0.59,Ideal,G,SI2,60.6,56.0,5.44,5.46,3.3,2797.9082242158775
228,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,9354.928221689757
229,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,1768.5933951453276
230,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,2001.3030524012918
231,0.55,Very Good,J,VS2,62.9,54.0,5.23,5.29,3.31,2559.806229815606
232,0.7,Very Good,J,VS2,61.1,61.0,5.64,5.69,3.46,3257.935201583498
233,0.6,Very Good,J,VS2,60.0,59.4,5.47,5.51,3.29,2792.51588707157
234,1.51,Very Good,J,VS2,60.2,59.0,7.35,7.36,4.43,7027.8316491301175
235,0.4,Very Good,J,VS2,60.9,62.0,4.73,4.76,2.89,1861.6772580477134
236,1.23,Very Good,J,VS2,62.9,59.0,6.8,6.85,4.29,5724.657568496718
237,0.41,Very Good,J,VS2,63.4,56.0,4.73,4.7,2.99,1908.219189498906
238,2.01,Very Good,J,VS2,61.1,59.0,8.04,8.07,4.92,9354.928221689757
239,1.86,Very Good,J,VS2,62.5,55.0,7.81,7.9,4.91,8656.799249921867
240,2.07,Very Good,J,VS2,61.3,56.0,8.16,8.2,5.02,9634.179810396916
241,0.78,Very Good,J,VS2,63.0,58.0,5.84,5.87,3.69,3630.270653193041
242,1.51,Very Good,J,VS2,61.0,58.0,7.35,7.41,4.5,7027.8316491301175
243,1.43,Very Good,J,VS2,62.8,56.0,7.13,7.19,4.5,6655.496197520574
244,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,3239.6704025954896
245,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3285.9514083468534
246,1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,6988.431868455985
247,1.01,Premium,E,SI1,59.2,60.0,6.56,6.51,3.87,4674.381580887778
248,0.72,Premium,E,SI1,59.5,59.0,5.87,5.83,3.48,3332.2324140982178
249,0.33,Premium,E,SI1,59.6,60.0,4.51,4.48,2.68,1527.2731897950166
250,1.0,Premium,E,SI1,60.7,59.0,6.41,6.38,3.88,4628.100575136414
251,0.91,Premium,E,SI1,62.4,57.0,6.23,6.11,3.85,4211.571523374137
252,0.34,Premium,E,SI1,61.9,59.0,4.48,4.44,2.76,1573.5541955463807
253,0.5,Premium,E,SI1,62.3,60.0,5.16,5.08,3.19,2314.050287568207
254,0.32,Premium,E,SI1,62.2,58.0,4.39,4.36,2.72,1480.9921840436525
255,0.7,Premium,E,SI1,59.1,62.0,5.8,5.74,3.41,3239.6704025954896
256,0.58,Premium,E,SI1,62.7,58.0,5.33,5.32,3.34,2684.2983335791196
257,0.7,Premium,E,SI1,60.7,58.0,5.74,5.73,3.48,3239.6704025954896
258,0.32,Premium,E,SI1,60.1,60.0,4.47,4.42,2.67,1480.9921840436525
259,0.4,Premium,E,SI1,61.0,59.0,4.71,4.74,2.88,1851.2402300545655
260,1.01,Premium,E,SI1,60.7,58.0,6.5,6.48,3.94,4674.381580887778
261,0.7,Premium,E,SI1,61.0,56.0,5.75,5.69,3.49,3239.6704025954896
262,1.0,Premium,E,SI1,60.5,59.0,6.4,6.45,3.89,4628.100575136414
263,0.44,Premium,E,SI1,62.3,59.0,4.84,4.88,3.03,2036.364253060022
264,1.0,Premium,E,SI1,61.9,62.0,6.4,6.34,3.94,4628.100575136414
265,1.01,Premium,E,SI1,61.7,56.0,6.44,6.39,3.96,4674.381580887778
266,0.94,Premium,E,SI1,62.0,58.0,6.24,6.27,3.88,4350.414540628229
267,0.4,Premium,E,SI1,60.8,62.0,4.76,4.72,2.88,1851.2402300545655
268,0.71,Premium,E,SI1,61.8,59.0,5.75,5.7,3.54,3285.9514083468534
269,1.01,Premium,E,SI1,59.5,60.0,6.54,6.46,3.87,4674.381580887778
270,0.3,Premium,E,SI1,62.5,60.0,4.24,4.27,2.66,1388.430172540924
271,0.52,Premium,E,SI1,61.6,58.0,5.17,5.12,3.17,2406.612299070935
272,2.01,Premium,E,SI1,60.4,61.0,8.05,7.98,4.84,9302.48215602419
273,0.41,Premium,E,SI1,61.4,56.0,4.81,4.77,2.94,1897.5212358059296
274,0.37,Premium,E,SI1,61.8,58.0,4.59,4.64,2.85,1712.397212800473
275,0.57,Premium,E,SI1,62.5,57.0,5.28,5.22,3.28,2638.0173278277557
276,0.33,Premium,E,SI1,60.2,58.0,4.55,4.49,2.72,1527.2731897950166
277,1.64,Premium,E,SI1,61.8,59.0,7.55,7.51,4.65,7590.084943223718
278,0.4,Premium,E,SI1,61.0,59.0,4.74,4.71,2.88,1851.2402300545655
279,1.53,Premium,E,SI1,61.3,59.0,7.35,7.4,4.52,7080.9938799587135
280,0.41,Premium,E,SI1,62.3,56.0,4.78,4.76,2.97,1897.5212358059296
281,0.34,Premium,E,SI1,59.3,58.0,4.55,4.59,2.71,1573.5541955463807
282,0.44,Premium,E,SI1,62.9,58.0,4.88,4.85,3.06,2036.364253060022
283,0.71,Premium,E,SI1,62.7,56.0,5.71,5.64,3.56,3285.9514083468534
284,1.02,Premium,E,SI1,61.4,58.0,6.48,6.45,3.97,4720.662586639142
285,0.33,Premium,E,SI1,59.1,58.0,4.56,4.51,2.68,1527.2731897950166
286,0.35,Premium,E,SI1,59.7,60.0,4.58,4.53,2.72,1619.8352012977448
287,0.53,Premium,E,SI1,61.8,60.0,5.21,5.18,3.21,2452.8933048222993
288,0.54,Premium,E,SI1,62.2,58.0,5.26,5.23,3.26,2499.1743105736637
289,1.0,Premium,E,SI1,61.7,58.0,6.42,6.35,3.94,4628.100575136414
290,0.8,Premium,E,SI1,62.9,60.0,5.89,5.87,3.7,3702.480460109131
291,1.02,Premium,E,SI1,62.8,58.0,6.45,6.39,4.03,4720.662586639142
292,0.71,Premium,E,SI1,59.2,59.0,5.83,5.86,3.46,3285.9514083468534
293,0.47,Premium,E,SI1,60.2,61.0,5.05,4.96,3.02,2175.2072703141143
294,1.7,Premium,E,SI1,61.8,58.0,7.62,7.52,4.68,7867.770977731903
295,0.51,Premium,E,SI1,58.8,58.0,5.28,5.23,3.09,2360.331293319571
296,0.52,Premium,E,SI1,59.8,61.0,5.2,5.17,3.1,2406.612299070935
297,0.31,Premium,E,SI1,59.3,59.0,4.48,4.42,2.64,1434.7111782922882
298,0.32,Premium,E,SI1,61.2,58.0,4.42,4.37,2.69,1480.9921840436525
299,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,4263.415106611624
300,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,2102.5060799728553
301,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,9286.068519880111
302,0.9,Premium,I,VS2,61.8,59.0,6.15,6.21,3.82,5256.265199932139
303,1.0,Premium,I,VS2,61.6,59.0,6.47,6.39,3.96,5840.294666591265
304,2.2,Premium,I,VS2,62.0,57.0,8.38,8.34,5.18,12848.648266500784
305,1.51,Premium,I,VS2,59.9,60.0,7.42,7.36,4.43,8818.84494655281
306,0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,5314.668146598051
307,1.2,Premium,I,VS2,62.6,58.0,6.77,6.72,4.22,7008.3535999095175
308,0.9,Premium,I,VS2,58.4,62.0,6.35,6.29,3.69,5256.265199932139
